City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,436,Japaratuba,BR,78.08,overcast clouds,-10.5933,-36.9403,Pousada Japaratuba
119,439,Calamar,CO,76.95,overcast clouds,10.2511,-74.9146,Hostal Katyalex
120,440,Sao Jose Da Coroa Grande,BR,76.69,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
121,443,San Luis Rio Colorado,MX,83.17,few clouds,32.4631,-114.7767,María Isabel Hernández Jiménez José de
122,447,Karratha,AU,78.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
123,448,Fare,PF,79.0,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
124,455,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,456,Bandarbeyla,SO,77.58,broken clouds,9.4942,50.8122,JABIR HOTEL
126,457,Inverell,AU,77.67,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
127,459,West Bay,KY,82.47,broken clouds,19.3667,-81.4167,Calypso Cove
128,463,Porto Murtinho,BR,76.28,few clouds,-21.6989,-57.8825,Hotel Pantanal
129,469,Champerico,GT,80.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
131,481,Hirara,JP,80.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
132,486,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
134,490,Weston,US,79.02,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
135,500,Moratuwa,LK,77.02,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
136,503,Bambanglipuro,ID,80.26,moderate rain,-7.95,110.2833,Puri Brata
137,505,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,508,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
139,512,Poso,ID,87.08,few clouds,-1.3959,120.7524,Hotel 77 Poso
140,516,Dingle,PH,83.3,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
141,519,Chiang Klang,TH,76.33,overcast clouds,19.2938,100.8617,Sangthong Resort
143,521,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
144,523,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
145,526,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
146,531,Tutoia,BR,78.49,overcast clouds,-2.7619,-42.2744,Pousada Guará's
147,533,Koumac,NC,78.4,clear sky,-20.5667,164.2833,Le Monitel
148,543,Ambulu,ID,81.39,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
149,544,Pedernales,DO,79.66,clear sky,18.0384,-71.744,Hotel Costa Marina
150,546,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
151,548,Tuy Hoa,VN,80.64,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
152,552,Roebourne,AU,79.72,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
153,554,Sharjah,AE,78.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
154,555,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
155,557,Hobyo,SO,79.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
156,559,Kampong Thum,KH,81.1,overcast clouds,12.7111,104.8887,Sambor Village Hotel
157,562,Quang Ngai,VN,81.01,few clouds,15.1167,108.8,Central Hotel
158,563,Davila,PH,85.98,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
159,568,Bilma,NE,76.48,clear sky,18.6853,12.9164,Expeditions Ténére voyages
160,573,Iracoubo,GF,79.11,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
161,574,Doembang Nangbuat,TH,85.06,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
162,575,Alenquer,BR,82.74,broken clouds,-1.9417,-54.7383,Josilene Castro
163,579,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
164,580,Tam Ky,VN,78.78,scattered clouds,15.5667,108.4833,Khách Sạn Đông Á
165,584,Trairi,BR,79.79,broken clouds,-3.2778,-39.2689,janelas do mar
166,589,Bama,NG,76.12,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
168,615,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
169,617,Miramar,US,78.03,overcast clouds,25.9873,-80.2323,Miramar
171,621,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
172,627,Moranbah,AU,83.95,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
173,631,Amahai,ID,85.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
174,633,Port Said,EG,75.18,clear sky,31.2565,32.2841,Aracan Hotel
175,634,Bani,DO,76.3,clear sky,18.2833,-70.3333,Hospedaje Henriquez
176,635,Riberalta,BO,79.48,broken clouds,-10.9833,-66.1,Hotel Colonial
177,639,Luwuk,ID,86.52,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
178,645,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
179,648,Pointe-Noire,CG,77.07,moderate rain,-4.7761,11.8635,Kactus Lodge
180,649,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
181,652,Kuching,MY,84.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
182,655,Daru,PG,82.11,overcast clouds,-9.0763,143.2092,Daru Lodge
183,661,Basco,PH,80.89,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
184,669,Kanniyakumari,IN,78.48,heavy intensity rain,8.0833,77.5667,Sparsa
185,674,Chaozhou,CN,75.06,few clouds,23.6651,116.6379,Seven Corner View Homestay
186,678,Nandyal,IN,75.9,overcast clouds,15.4833,78.4833,Hotel Shobha
187,679,Whyalla,AU,76.89,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
188,684,Lae,PG,85.44,light rain,-6.7221,146.9847,Phils Hotel
189,690,Emilio Carranza,MX,76.44,broken clouds,19.9711,-96.6114,casa carranza
190,694,Cockburn Town,TC,82.06,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
191,703,Byron Bay,AU,75.15,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
192,704,Meulaboh,ID,79.21,overcast clouds,4.1363,96.1285,Kost Pria
