City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Lebu,CL,2021-11-01 01:36:23,-37.6167,-73.65,50.4,94,50,5.41,scattered clouds
107,San Quintin,MX,2021-11-01 01:40:56,30.4833,-115.95,62.55,84,0,7.74,clear sky
108,Padang,ID,2021-11-01 01:37:10,-0.9492,100.3543,80.65,84,100,2.57,overcast clouds
109,Ostrovnoy,RU,2021-11-01 01:40:57,68.0531,39.5131,31.73,88,99,15.01,overcast clouds
110,Huambo,AO,2021-11-01 01:40:57,-12.7761,15.7392,60.08,88,100,3.62,overcast clouds
111,Lagoa,PT,2021-11-01 01:40:58,39.05,-27.9833,68.09,92,100,10.36,overcast clouds
112,Tiksi,RU,2021-11-01 01:40:58,71.6872,128.8694,10.33,84,100,10.63,overcast clouds
113,Kununurra,AU,2021-11-01 01:40:59,-15.7667,128.7333,85.98,62,52,5.75,broken clouds
114,Aleksandrovsk-Sakhalinskiy,RU,2021-11-01 01:40:59,50.8975,142.1561,32.65,52,16,1.92,few clouds
115,Mendi,PG,2021-11-01 01:41:00,-6.1761,143.6513,66.87,79,100,3.83,overcast clouds
116,Port Elizabeth,ZA,2021-11-01 01:41:00,-33.918,25.5701,63.1,100,75,17.27,mist
117,Aklavik,CA,2021-11-01 01:41:01,68.2191,-135.0107,34.52,88,100,8.68,overcast clouds
118,Dzaoudzi,YT,2021-11-01 01:41:02,-12.7887,45.2699,78.69,78,20,12.66,few clouds
119,Coquimbo,CL,2021-11-01 01:41:02,-29.9533,-71.3436,56.93,88,75,6.91,broken clouds
120,Harrisonville,US,2021-11-01 01:41:03,38.6533,-94.3488,48.58,65,1,3.44,clear sky
121,Codrington,AU,2021-11-01 01:41:04,-38.2667,141.9667,64.54,62,0,7.47,clear sky
122,Pisco,PE,2021-11-01 01:41:04,-13.7,-76.2167,62.65,82,0,16.11,clear sky
123,Mabaruma,GY,2021-11-01 01:36:58,8.2,-59.7833,73.53,95,95,1.45,overcast clouds
124,Baniachang,BD,2021-11-01 01:41:05,24.5167,91.3667,73.08,61,0,2.55,clear sky
125,Warangal,IN,2021-11-01 01:40:26,18.0,79.5833,69.46,66,100,5.55,overcast clouds
